blockno,area
L01,4080
L02,6000
L03,6720
L04,7440
L05,4080
L06,4800
L07,6000
L08,4080
L09,6120
L10,2280
L11,6600
K03,5320
K04,5520
K05,4680
K06,5520
K09,5040
K10,2400
K11,2400
K12,2400
K13,2280
K14,2060
K15,2040
K16,2280
K17,2520
K18,2400
AB01,4920
AB02,6480
AB03,5780
AB04,3720
AB05,5040
AB06,5280
AB07,5040
AD01,4560
AD02,4920
AD03,5160
AD04,6360
AD05,6240
AF01,4680
AF02,5400
AF03,4560
AF04,5400
S01,3600
S02,5040
S03,5040
S04,5280
MU01,5814
MU02,5712
MU03,5712
MU04,5712
MU05,5712
MU06,3774
