date,week,stems_ordered,customer_id,crop_id
7/24/2022,29,1416,39,1
7/25/2022,30,8700,220,2
7/25/2022,30,300,39,1
7/25/2022,30,19349,220,2
7/25/2022,30,47316,270,2
7/25/2022,30,4500,70,1
7/25/2022,30,12940,39,2
7/25/2022,30,6400,267,2
7/25/2022,30,13750,270,1
7/25/2022,30,2500,69,1
7/26/2022,30,5400,270,1
7/26/2022,30,3000,103,1
7/26/2022,30,27774,39,2
7/26/2022,30,12118,161,2
7/26/2022,30,13108,270,2
7/26/2022,30,34130,267,2
7/26/2022,30,1900,69,1
7/27/2022,30,16668,39,2
7/27/2022,30,1674,39,1
7/27/2022,30,20440,267,2
7/27/2022,30,16000,224,1
7/27/2022,30,7100,220,2
7/27/2022,30,31200,160,2
7/27/2022,30,1200,69,1
7/27/2022,30,23600,270,1
7/27/2022,30,41760,270,2
7/28/2022,30,300,39,1
7/28/2022,30,500,99,1
7/28/2022,30,7600,270,1
7/28/2022,30,9200,267,2
7/28/2022,30,21060,39,2
7/28/2022,30,35514,270,2
7/28/2022,30,21549,220,2
7/28/2022,30,12268,161,2
7/29/2022,30,5900,270,1
7/29/2022,30,27228,270,2
7/29/2022,30,39900,220,2
7/29/2022,30,900,39,1
7/29/2022,30,13485,39,2
7/29/2022,30,2800,69,1
7/30/2022,30,18320,39,2
7/30/2022,30,42636,270,2
7/30/2022,30,5000,103,1
7/30/2022,30,1200,69,1
7/30/2022,30,900,39,1
7/30/2022,30,5700,70,1
7/30/2022,30,29900,270,1
7/30/2022,30,12918,161,2
7/30/2022,30,25000,220,2
7/31/2022,30,18900,270,1
7/31/2022,30,35276,39,2
7/31/2022,30,1974,39,1
7/31/2022,30,12249,220,2
7/31/2022,30,31336,270,2
7/31/2022,30,2400,267,2
8/1/2022,31,300,39,1
8/1/2022,31,16850,270,1
8/1/2022,31,21140,39,2
8/1/2022,31,3400,69,1
8/1/2022,31,15800,220,2
8/1/2022,31,31204,270,2
8/2/2022,31,24000,270,1
8/2/2022,31,33434,39,2
8/2/2022,31,1320,69,1
8/2/2022,31,29250,267,2
8/2/2022,31,2500,103,1
8/2/2022,31,10000,161,2
8/2/2022,31,25188,270,2
8/3/2022,31,14040,267,2
8/3/2022,31,23800,270,1
8/3/2022,31,28044,270,2
8/3/2022,31,31200,160,2
8/3/2022,31,1200,69,1
8/3/2022,31,17040,39,2
8/3/2022,31,15000,224,1
8/3/2022,31,1860,39,1
8/4/2022,31,10000,161,2
8/4/2022,31,2800,69,1
8/4/2022,31,26094,270,2
8/4/2022,31,20500,270,1
8/4/2022,31,2800,99,1
8/4/2022,31,22240,39,2
8/4/2022,31,4800,267,2
8/4/2022,31,600,39,1
8/4/2022,31,3549,220,2
8/5/2022,31,5100,69,1
8/5/2022,31,10800,270,1
8/5/2022,31,1860,39,1
8/5/2022,31,10290,161,2
8/5/2022,31,13485,39,2
8/5/2022,31,22608,270,2
8/5/2022,31,39900,220,2
8/6/2022,31,13840,39,2
8/6/2022,31,29736,270,2
8/6/2022,31,2000,267,2
8/6/2022,31,25000,220,2
8/6/2022,31,7800,270,1
8/6/2022,31,1400,69,1
8/6/2022,31,10000,161,2
8/6/2022,31,1420,39,1
8/7/2022,31,9200,270,1
8/7/2022,31,12249,220,2
8/7/2022,31,300,99,1
8/7/2022,31,21228,270,2
8/7/2022,31,2000,103,1
8/7/2022,31,31928,39,2
8/8/2022,32,12040,270,1
8/8/2022,32,6900,69,1
8/8/2022,32,1900,39,1
8/8/2022,32,1500,103,1
8/8/2022,32,21548,270,2
8/8/2022,32,25900,39,2
8/8/2022,32,2400,267,2
8/8/2022,32,4400,70,1
8/8/2022,32,15800,220,2
8/10/2022,32,1116,39,1
8/10/2022,32,39552,270,2
8/10/2022,32,31890,267,2
8/10/2022,32,14420,270,1
8/10/2022,32,19912,39,2
8/10/2022,32,3450,69,1
8/10/2022,32,7100,220,2
8/10/2022,32,31200,160,2
8/11/2022,32,12775,161,2
8/11/2022,32,29740,267,2
8/11/2022,32,34242,270,2
8/11/2022,32,25000,220,2
8/11/2022,32,27240,39,2
8/11/2022,32,2800,99,1
8/11/2022,32,1900,39,1
8/11/2022,32,2500,127,1
8/11/2022,32,9280,270,1
8/12/2022,32,41184,270,2
8/12/2022,32,17485,39,2
8/12/2022,32,2200,39,1
8/12/2022,32,2100,69,1
8/12/2022,32,220,75,1
8/12/2022,32,5000,103,1
8/12/2022,32,32880,270,1
8/12/2022,32,39900,220,2
8/13/2022,32,12470,161,2
8/13/2022,32,37968,270,2
8/13/2022,32,25040,39,2
8/13/2022,32,25000,220,2
8/13/2022,32,2890,69,1
8/13/2022,32,600,39,1
8/14/2022,32,300,39,1
8/14/2022,32,300,99,1
8/14/2022,32,13840,39,2
8/14/2022,32,24948,270,2
8/14/2022,32,8700,220,2
8/14/2022,32,34980,270,1
8/15/2022,33,14050,270,1
8/15/2022,33,600,39,1
8/15/2022,33,28290,267,2
