customer_id,customer,country_id
39,Customer A,1
56,Customer V,3
69,Customer F,3
70,Customer G,3
75,Customer W,3
81,Customer X,3
92,Customer J,3
99,Customer Y,3
103,Customer Z,3
104,Customer ZA,3
105,Customer ZB,3
127,Customer ZC,7
141,Customer ZD,6
149,Customer ZE,4
160,Customer ZF,4
161,Customer M,4
187,Customer ZG,4
191,Customer ZH,4
193,Customer ZI,4
220,Customer O,4
224,Customer P,4
259,Customer S,5
267,Customer T,5
270,Customer U,5
289,Customer ZJ,3
296,Customer ZK,3
