date,blockno,variety,stems
5/26/2023,L06,Royal Princess,579
5/29/2023,L05,Royal Princess,785
5/29/2023,L06,Royal Princess,2950
5/29/2023,K06,Royal Princess,785
5/31/2023,L05,Royal Princess,405
6/2/2023,L05,Royal Princess,1987
6/3/2023,L05,Royal Princess,2000
6/5/2023,L06,Royal Princess,1712
6/5/2023,L05,Royal Princess,1383
6/5/2023,K06,Royal Princess,100
6/6/2023,MU03,Royal Princess,2000
6/6/2023,S01,Royal Princess,539
6/7/2023,MU03,Royal Princess,4345
6/9/2023,MU03,Royal Princess,4266
6/10/2023,MU03,Royal Princess,6995
6/13/2023,S01,Royal Princess,11817
6/13/2023,MU03,Royal Princess,600
6/14/2023,K04,Royal Princess,3200
6/14/2023,MU03,Royal Princess,249
6/15/2023,AF01,Royal Princess,100
6/16/2023,AF01,Royal Princess,5000
6/16/2023,AF02,Royal Princess,2200
6/16/2023,K04,Royal Princess,3300
6/17/2023,AB05,Royal Princess,2700
